PID,Product Name,Category,Final Price,Initial Price,Color,Primary Color,Fabric
CL0034907, Denim chambray sash tie shirt, Top,44.95,31.95, Deep indigo, Deep indigo, Cotton
CL0034412, Notch neck dandelion print cambric blouse, Top,39.95,19.95, Yellow/white, Yellow, Cotton
CL0034431, Two tone curved waist knit dress, Dress,74.95,56.95, Crimson/deep navy, Crimson, Cotton Spandex
CL0035999, Check print two-buckle belt dress, Dress,99.95,69.95, Cream multi, Cream multi, Cotton
CL0031441, Knot front jersey knit dress, Dress,64.95,45.95, Deep navy, Deep navy, Cotton Spandex
CL0031126, Cotton knit button-tabbed jacket, Jacket,69.95,48.95, Deep navy, Deep navy, Cotton Spandex
CL0036424, Floral lace bib cold shoulder top, Top,69.95,41.95, Black, Black, Polyester
CL0027920, Belted poplin skirt, Skirt,52.95,37.95, Black, Black, Cotton
CL0035268, Pleated cotton poplin midi skirt, Skirt,59.95,41.95, Black, Black, Cotton
CL0033754, Folk embellished cotton knit top, Top,71.95,53.95, Bottle green/black, Bottle green, Cotton Spandex
CL0036798, Citron floral print dress, Dress,64.95,45.95, Citron multi, Citron multi, Cotton Spandex
CL0036696, Embellished crinkle gauze caftan dress, Top,76.95,30.95, Pink/blue, Pink, Cotton
CL0036797, Vintage denim chambray dress, Dress,64.95,45.95, Indigo, Indigo, Cotton
CL0035507, Stretch twill wide leg pants, Pant,99.95,59.95, Navy, Navy, Cotton Polyester Spandex
CL0035581, Skater style cotton knit dress, Dress,64.95,45.95, Navy, Navy, Cotton Spandex
CL0036439, Cowl neck light jersey tunic, Top,49.95,19.95, Tomato red, Tomato red, Viscose Spandex
CL0036379, Split neck melange knit tunic dress, Dress,79.95,31.95, Denim blue, Denim blue, Polyester Rayon Spandex
CL0034234, Floral print chiffon peasant blouse, Top,49.95,29.95, Navy multi, Navy multi, Polyester
CL0036454, Stripe cotton knit oversized tee, Top,59.95,23.95, Black/beige, Black, Cotton Spandex
CL0036489, Elastic belted jersey knit dress, Dress,89.95,53.95, Loden green, Loden green, Viscose Spandex
CL0032643, Embellished bib voile trapeze dress, Dress,66.95,43.95, Cream, Cream, Cotton
CL0026994, Lilian dress, Dress,59.95,59.95, Black, Black, Cotton
CL0034997, Pastel floral cotton chambray dress, Dress,96.95,63.95, Indigo multi, Indigo multi, Cotton
CL0035962, Woven check halter dress, Dress,64.95,42.95, Loden/navy/off-white, Loden, Cotton
CL0035205, Floral embellished chambray shift dress, Dress,86.95,56.95, Indigo/red/beige, Indigo, Cotton
CL0035885, Tulle layer chambray floral dress, Dress,86.95,56.95, Deep indigo/black, Deep indigo, Cotton Polyester
CL0034298, Paisley print elephant border midi dress, Dress,64.95,42.95, Beige/black, Beige, Polyester Crepe de Chine
CL0036366, Floral embellished hacci knit dress, Dress,126.95,50.95, Blue/gold, Blue, Polyester
CL0036406, Floral tile print stretch cotton shift dress, Dress,94.95,37.95, Navy multi, Navy multi, Cotton Spandex
CL0036545, Roll tab sleeve melange knit tunic, Top,59.95,35.95, Light melange gray, Light melange gray, Viscose Spandex
CL0032028, Denim chambray cotton shirtdress, Dress,64.95,45.95, Deep indigo, Deep indigo, Cotton
CL0036396, Landscape art print stretch crepe dress, Dress,144.95,57.95, Multicolor, Multicolor, Polyester Spandex
CL0032757, Dahlia crinoline, Skirt,79.95,55.95, Black, Black, Polyester
CL0036725, Tropical floral print skater dress, Dress,89.95,35.95, Deep navy multi, Deep navy multi, Cotton Spandex
CL0036414, Sash tie jersey blouson dress, Dress,119.95,71.95, Heather gray, Heather gray, Viscose Spandex
CL0035605, Cowl neck birdsong dress, Dress,86.95,60.95, Navy blue, Navy blue, Cotton Spandex
CL0036492, Floral print mixed media maxi dress, Dress,74.95,37.95, Black multi, Black multi, Polyester Crepe de Chine
CL0035568, Embellished bib cotton voile tunic, Top,56.95,34.95, White/blue, White, Cotton
CL0035420, Chambray denim seamed empire sheath dress, Dress,64.95,42.95, Deep indigo, Deep indigo, Cotton
CL0036451, Polka dot jacquard colorblock knit dress, Dress,114.95,45.95, Deep navy/cream, Deep navy, Cotton Polyester
CL0035639, Elastic belted jersey stripe dress, Dress,89.95,62.95, Beige multi, Beige multi, Rayon Polyester Spandex
CL0026896, Pintuck pleat poplin skirt, Skirt,52.95,37.95, Black, Black, Cotton
CL0036086, Graphic obi belt colorblock cotton knit dress, Dress,106.95,80.95, Bottle green/deep navy/white, Bottle green, Cotton Spandex
CL0032796, Pintucked bib chambray trapeze dress, Dress,64.95,45.95, Deep Indigo, Deep Indigo, Cotton
CL0036742, Embellished tulle yoke chiffon print dress, Dress,91.95,36.95, Blush multi, Blush multi, Polyester
CL0036385, Graphic hat print shift dress, Dress,79.95,31.95, Black/off-white, Black, Cotton
CL0030578, Draped toga knit dress, Dress,59.95,38.95, Black, Black, Cotton Spandex
CL0035889, Contrast floral embroidery poplin dress, Dress,101.95,71.95, Deep navy/white, Deep navy, Cotton
CL0036338, Floral print diamond knit dress, Dress,59.95,41.95, White/fuschia/brown, White, Cotton Spandex
CL0036703, Button front geo print knit tunic, Top,49.95,19.95, White/green/black, White, Cotton Spandex
CL0036561, Trapunto trim denim chambray dress, Dress,59.95,41.95, Deep indigo, Deep indigo, Cotton
CL0035685, Piped trim floral print voile dress, Dress,89.95,58.95, Black/white/yellow, Black, Cotton
CL0035816, Split neck soft crepe top, Top,39.95,25.95, Off-white, Off-white, Polyester Crepe de Chine
CL0034393, Ruched pleat cotton knit dress, Dress,74.95,52.95, Deep navy, Deep navy, Cotton Spandex
CL0035968, Split neck gingham check sheath dress, Dress,64.95,42.95, Mint green/off-white, Mint green, Cotton Spandex
CL0035566, Pleated diamond knit dress, Dress,64.95,42.95, Deep navy, Deep navy, Cotton Spandex
CL0036803, Blouson cotton knit dress, Dress,59.95,44.95, Royal blue, Royal blue, Cotton Spandex
CL0036809, Tie-neck cotton knit dress, Dress,64.95,48.95, Bottle green, Bottle green, Cotton Spandex
CL0036353, Olivia dress, Dress,59.95,29.95, Sunset gold, Sunset gold, Cotton
CL0035578, Cotton knit fit-and-flare dress, Dress,74.95,56.95, Royal blue, Royal blue, Cotton Spandex
CL0035928, Jacquard check banded collar blazer, Jacket,99.95,59.95, Black/white, Black, Polyester Spandex
CL0034569, Colorblock stripe cotton knit dress, Dress,69.95,45.95, Royal blue/bottle green/black, Royal blue, Cotton Spandex
CL0029087, Cotton knit shirtdress, Dress,64.95,48.95, Bottle green, Bottle green, Cotton Spandex
CL0036748, Graphic print notch neck dress, Dress,109.95,43.95, White/teal/lime/violet, White, Cotton
CL0025087, Draped neck tulle tank, Top,51.95,33.95, Black/navy, Black, Polyester
CL0034527, Paisley embellished voile tunic dress, Dress,76.95,46.95, White multi, White multi, Cotton
CL0036298, Bow tied bird print crepe romper, Jumpsuit,74.95,48.95, Rich cream multi, Rich cream multi, Polyester Crepe de Chine
CL0035878, Chambray denim long skirt, Skirt,59.95,41.95, Indigo blue, Indigo blue, Cotton
CL0034754, Butterfly embellished colorblock dress, Dress,81.95,53.95, Juniper/black, Juniper, Cotton
CL0029200, Trellis waist cotton knit dress, Dress,64.95,48.95, Royal blue, Royal blue, Cotton Spandex
CL0034214, Two tone bird print cotton dress, Dress,99.95,64.95, White/navy, White, Cotton
CL0036393, Piped trim polka dot print dress, Dress,119.95,47.95, Off-white/navy, Off-white, Cotton
CL0036367, Hacci knit dolman sleeve tee, Top,79.95,31.95, Denim blue/black, Denim blue, Polyester
CL0035279, V-neck jersey trapunto yoke top, Top,49.95,24.95, Loden green, Loden green, Polyester Spandex
CL0035035, Stretch cotton sateen wrap skirt, Skirt,69.95,34.95, Deep navy, Deep navy, Cotton Spandex
CL0036050, Floral embellished chiffon blouson tank, Top,61.95,30.95, Aqua, Aqua, Cotton
CL0035406, Contrast trim floral embellished chambray dress, Dress,106.95,69.95, Deep indigo multi, Deep indigo multi, Cotton
CL0036640, Polka dot voile print keyhole dress, Dress,89.95,44.95, Royal blue/off-white, Royal blue, Cotton
CL0035994, Polka dot stretch cotton blend bermuda shorts, Pant,49.95,34.95, Gray/off-white, Gray, Cotton Polyester Spandex
CL0035153, Grace dress, Dress,66.95,66.95, Black, Black, Cotton
CL0032653, Cotton poplin A-line shirtdress, Dress,59.95,41.95, Black, Black, Cotton
CL0029089, Draped seam knit dress, Dress,59.95,44.95, Bottle green, Bottle green, Cotton Spandex
CL0031683, Piped trim cotton knit dress, Dress,69.95,48.95, Deep navy/black, Deep navy, Cotton Spandex
CL0036724, Floral print georgette maxi dress, Dress,119.95,47.95, Pale blue/orange multi, Pale blue, Polyester
CL0034544, Cotton poplin tunic shirt, Top,39.95,19.95, White, White, Cotton
CL0033649, Floral print piped trim dress, Dress,79.95,51.95, White/navy multi, White, Cotton
CL0035883, Contrast trim poplin dress, Dress,64.95,45.95, Deep navy/white, Deep navy, Cotton
CL0034462, Spectacle embellished poplin full skirt, Skirt,81.95,57.95, Black/royal blue, Black, Cotton
CL0035853, Flowy floral organza print top, Top,76.95,46.95, Aqua/orange, Aqua, Polyester Nylon
CL0035852, Ruffle sleeve chiffon print tunic, Top,59.95,35.95, Off-white/black, Off-white, Polyester
CL0036002, Floral embellished woven check maxi dress, Dress,136.95,89.95, Teal/light blue, Teal, Cotton
CL0029448, Cotton knit high/low hem top, Top,64.95,48.95, Bottle green, Bottle green, Cotton Spandex
CL0030582, Tie-front jersey knit top, Top,39.95,29.95, Crimson, Crimson, Cotton Spandex
CL0036747, Graphic mixed fruit print dress, Dress,109.95,43.95, Off-white/red/navy, Off-white, Cotton
CL0034505, Floral embroidered cotton knit skirt, Skirt,76.95,50.95, Black multi, Black multi, Cotton Spandex
CL0033342, Split neck cotton knit tunic, Top,44.95,29.95, Bottle green, Bottle green, Cotton Spandex
CL0034652, Colorblock hem floral print dress, Dress,119.95,71.95, White/light blue, White, Cotton Spandex
CL0035991, Split neck graphic print sheath dress, Dress,124.95,62.95, Off-white/teal multi, Off-white, Cotton
CL0035501, Stretch ponte knit wide leg pants, Pant,99.95,59.95, Black, Black, Rayon Nylon Spandex
CL0029110, Grecian goddess knit dress, Dress,64.95,32.95, Royal blue, Royal blue, Cotton Spandex
CL0036233, Floral scallop drawstring maxi dress, Dress,106.95,69.95, Surf blue/white, Surf blue, Cotton
CL0036535, Floral embellished mesh surplice blouse, Top,79.95,51.95, Off-white, Off-white, Polyester
CL0035485, Cotton chambray denim mini skort, Pant,59.95,35.95, Deep indigo, Deep indigo, Cotton
CL0035631, Flowy watercolor print satin top, Top,49.95,32.95, Lime/pink/peach, Lime, Polyester
CL0036152, Floral crochet lace crop top, Dress,54.95,27.95, Black, Black, Cotton
CL0036732, Tiered summer print maxi skirt, Skirt,109.95,43.95, Yellow/off-white, Yellow, Cotton
CL0036016, Cap sleeve cotton poplin shirt, Top,49.95,32.95, White, White, Cotton
CL0035618, Two tone colorblock cotton knit dress, Dress,74.95,48.95, Black/deep navy, Black, Cotton Spandex
CL0033897, Floral embellished cotton knit sheath, Dress,86.95,86.95, Black multi, Black multi, Cotton Spandex
CL0035160, Sash tied denim chambray dress, Dress,64.95,42.95, Deep indigo, Deep indigo, Cotton
CL0034365, Raindrop embellished poplin skirt, Skirt,76.95,50.95, Black multi, Black multi, Cotton
CL0035868, Floral print chiffon surplice dress, Dress,94.95,47.95, Yellow/red multi, Yellow, Polyester
CL0036621, Bow tied gingham check dress, Dress,101.95,50.95, Cream/red/teal, Cream, Cotton
CL0035788, Split neck vibrant chiffon top, Top,44.95,29.95, Red, Red, Polyester
CL0033639, Chambray denim tunic shirt, Top,49.95,32.95, Deep indigo, Deep indigo, Cotton
CL0035374, Cotton sateen twill cargo pants, Pant,79.95,47.95, Smoke blue, Smoke blue, Cotton Spandex
CL0032926, Floral folk chambray denim top, Top,66.95,43.95, Deep indigo, Deep indigo, Cotton
CL0035872, Floral stretch sateen utility cargo pants, Pant,79.95,31.95, Beige multi, Beige multi, Cotton Spandex
CL0035724, Floral print crepe A-line dress, Dress,74.95,48.95, Black multi, Black multi, Polyester Crepe de Chine
CL0034540, Bib front cotton jersey knit dress, Dress,74.95,56.95, Royal blue, Royal blue, Cotton Spandex
CL0036372, Contrast seersucker stripe poplin shirtdress, Dress,84.95,33.95, White/black, White, Cotton
CL0034650, Faux button paisley print chambray skirt, Skirt,59.95,29.95, Light indigo/off-white, Light indigo, Cotton Spandex
CL0036452, Tie front crepe palazzo pants, Pant,89.95,35.95, French blue, French blue, Polyamide Spandex
CL0035452, Scallop chambray denim shorts, Pant,49.95,32.95, Deep indigo, Deep indigo, Cotton
CL0034827, Floral embellished white poplin sundress, Dress,96.95,63.95, White/beige/yellow, White, Cotton
CL0036507, Tile print crepe maxi dress, Dress,99.95,49.95, Cream/red, Cream, Polyester Crepe de Chine
CL0036301, Cotton poplin scallop trim shirt, Top,49.95,24.95, Banana yellow, Banana yellow, Cotton
CL0035621, Heart print jersey knit keyhole dress, Dress,79.95,39.95, Black/cream, Black, Polyester Rayon Spandex
CL0034355, Copper embroidered voile tunic, Top,56.95,37.95, Black/copper, Black, Cotton
CL0035783, Elastic belted stripe jersey knit dress, Dress,124.95,62.95, Black/off-white, Black, Polyester Rayon Spandex
CL0035657, Chevron embellished fit-and-flare dress, Dress,71.95,46.95, Off-white/black, Off-white, Polyester Crepe de Chine
CL0034026, Embellished floral organza dress, Dress,89.95,89.95, Off-white/aqua, Off-white, Cotton Polyester
CL0035224, Fit and flare floral tencel dress, Dress,89.95,58.95, Turquoise/fuchsia/green, Turquoise, Tencel
CL0036401, Elastic waist tile print skirt, Skirt,84.95,33.95, Blush/brown/gray, Blush, Cotton Spandex
CL0035846, Floral ruffle cutout back knit tunic, Top,106.95,64.95, Red/blue, Red, Polyester Spandex
CL0036258, Galloping horses print cotton wrap dress, Dress,74.95,48.95, Deep navy/beige, Deep navy, Cotton
CL0036064, Graphic stripe crepe elastic waist pants, Pant,79.95,51.95, Black/white, Black, Polyester
CL0036619, Floral embellished fit and flare dress, Dress,126.95,126.95, Black/gray/blue, Black, Polyester
CL0036235, Floral embellished split neck voile dress, Dress,86.95,43.95, White/black, White, Rayon Polyester Spandex
CL0036484, Bird print crepe tank top, Top,39.95,19.95, Off-white/pink/black, Off-white, Cotton
CL0034366, Floral embellished tulle flared skirt, Skirt,66.95,40.95, Black, Black, Polyester
CL0036357, Stripe print chiffon gaucho pants, Pant,89.95,53.95, Black/ecru, Black, Polyester
CL0034704, Illusion floral embellished lace dress, Dress,169.95,169.95, Cream, Cream, Nylon Cotton
CL0035486, Stretch twill ankle pants, Pant,69.95,45.95, Navy, Navy, Rayon Nylon Spandex
CL0034744, Color tipped cotton knit sheath dress, Dress,79.95,39.95, Royal blue/black, Royal blue, Cotton Spandex
CL0036400, Tile print stretch cotton dress, Dress,109.95,43.95, Light blue/taupe/pink, Light blue, Cotton Spandex
CL0036624, Scallop applique banded retro frock, Dress,86.95,43.95, Surf blue/white, Surf blue, Cotton
CL0035150, Layered faux-wrap chambray dress, Dress,79.95,51.95, Deep indigo, Deep indigo, Cotton
CL0033124, Chambray denim A-line shirtdress, Dress,69.95,48.95, Deep indigo, Deep indigo, Cotton
CL0036717, Cotton sateen elastic waist shirtdress, Dress,119.95,47.95, Mayo teal, Mayo teal, Cotton Spandex
CL0035244, Notch collar wrap front top, Top,39.95,25.95, Black/off-white, Black, Polyester
CL0035699, Tie front jersey knit top, Top,44.95,26.95, Red, Red, Polyester
CL0036562, Obi belt cotton eyelet shirtdress, Dress,179.95,107.95, Off-white, Off-white, Cotton
CL0035880, Gingham check cotton belted shirtdress, Dress,69.95,45.95, Black/off-white, Black, Cotton
CL0034416, Lace inset cotton knit sheath dress, Dress,109.95,109.95, Black/blush, Black, Cotton Spandex
CL0035488, Stretch twill ankle pants, Pant,69.95,45.95, Deep gray, Deep gray, Rayon Nylon Spandex
CL0036796, Chevron stripe colorblock maxi dress, Dress,99.95,79.95, White/black, White, Cotton
CL0032666, Embellished floral yoke poplin dress, Dress,96.95,67.95, Black multi, Black multi, Cotton
CL0035918, Floral print cotton gaucho pants, Pant,99.95,59.95, Beige multi, Beige multi, Cotton
CL0034336, Contrast trim sash tied knit shirtdress, Dress,99.95,64.95, Deep navy/white, Deep navy, Cotton Spandex
CL0027426, Beau belle chambray blouse, Top,49.95,34.95, Indigo, Indigo, Cotton
CL0036080, Racerback cutout graphic print shift, Dress,74.95,48.95, Sea green/black multi, Sea green, Polyester Crepe de Chine
CL0034832, Vibrant floral bib maxi dress, Dress,96.95,67.95, Deep navy/coral, Deep navy, Cotton Spandex
CL0035901, Floral scallop drawstring maxi dress, Dress,106.95,64.95, Deep indigo/white, Deep indigo, Cotton
CL0033932, High waisted ponte knit skirt, Skirt,79.95,51.95, Black, Black, Rayon Nylon Spandex
CL0035537, Floral lace A-line dress, Dress,94.95,94.95, Red, Red, Cotton Nylon
CL0035630, Elastic belted stripe knit dress, Dress,109.95,65.95, Black/white, Black, Rayon Nylon Spandex
CL0035919, Tropical floral print cotton empire dress, Dress,89.95,44.95, Multi-color, Multi-color, Cotton Spandex
CL0034414, Her fifties piped trim dress, Dress,79.95,51.95, White/black, White, Cotton
CL0036336, Embellished gingham check shift dress, Dress,96.95,58.95, Yellow/white, Yellow, Cotton
CL0035514, Notch neck contrast trim crepe blouse, Top,39.95,19.95, Aqua/white, Aqua, Polyester Spandex
CL0034656, Denim chambray top stitched skirt, Skirt,74.95,44.95, Deep indigo, Deep indigo, Cotton
CL0036236, Waterfall frill georgette tunic, Top,66.95,33.95, Blush pink, Blush pink, Polyester
CL0036480, Shawl collar sash waist floral crepe dress, Dress,79.95,31.95, Yellow/brown multi, Yellow, Polyester Crepe de Chine
CL0034628, Filigree embellished poplin dress, Dress,96.95,96.95, Black/gold, Black, Cotton
CL0035736, Stripe jersey knit shift dress, Dress,79.95,51.95, Black/white, Black, Rayon Nylon Spandex
CL0032514, Scallop hem denim chambray skirt, Skirt,49.95,32.95, Deep indigo, Deep indigo, Cotton
CL0035116, Georgette split sleeve blouse, Top,44.95,22.95, Red, Red, Polyester
CL0035914, Stripe sash ikat woven dress, Dress,86.95,43.95, Green/off-white/black, Green, Cotton
CL0034807, Floral embellished cotton knit dress, Dress,96.95,72.95, Bottle green/gold, Bottle green, Cotton Spandex
CL0032875, Asymmetric collar cotton knit top, Top,79.95,55.95, Deep navy, Deep navy, Cotton Spandex
CL0035622, Colorblock stripe poplin dress, Dress,79.95,55.95, Black/white, Black, Cotton
CL0036260, Floral embellished empire waist poplin dress, Dress,76.95,53.95, Black multi, Black multi, Cotton
CL0036485, Brooklyn dress, Dress,59.95,29.95, Brown, Brown, Cotton
CL0036653, Contrast trim graphic floral dress, Dress,89.95,62.95, Black/cream, Black, Cotton Spandex
CL0036466, Stretch twill lace trim shorts, Pant,79.95,31.95, Black, Black, Polyamide Spandex
CL0036558, Graphic trim cotton check romper, Jumpsuit,59.95,35.95, Navy/beige multi, Navy, Cotton
CL0036210, Elastic belt denim chambray full skirt, Skirt,79.95,47.95, Deep indigo/black, Deep indigo, Cotton
CL0035678, Sash tie flowy crepe shorts, Pant,59.95,38.95, Deep navy, Deep navy, Polyamide Spandex
CL0035125, Piped trim bird print dress, Dress,94.95,61.95, White/red/navy/yellow, White, Cotton
CL0035163, Belted stripe poplin dress, Dress,79.95,55.95, White/juniper green/deep navy, White, Cotton
CL0034909, Two tone cotton knit wrap style dress, Dress,79.95,55.95, Deep navy/royal blue, Deep navy, Cotton Spandex
CL0036244, Asymmetric layered stretch crepe dress, Dress,89.95,44.95, Black, Black, Polyester Spandex
CL0036713, Floral print banded trim wrap dress, Dress,119.95,47.95, Aqua/white, Aqua, Cotton
CL0033752, Embellished denim chambray pants, Pant,86.95,56.95, Deep indigo/beige, Deep indigo, Cotton
CL0035993, Polka dot mod shift dress, Dress,79.95,47.95, Denim blue/white, Denim blue, Cotton
CL0036739, Handkerchief hem floral chiffon dress, Dress,119.95,47.95, Aqua green multi, Aqua green multi, Polyester Nylon
CL0036231, Pompom trim batik print wrap shorts, Pant,59.95,35.95, Deep indigo/blue/white, Deep indigo, Cotton
CL0036592, Floral embellished scallop collar shirt, Top,76.95,46.95, White, White, Cotton
CL0030747, Jamaica dress, Dress,59.95,59.95, Black, Black, Cotton
CL0035502, Stretch jersey twill wide leg pants, Pant,99.95,59.95, Black, Black, Rayon Polyester Spandex
CL0035808, Contrast banded trim poplin shirtdress, Dress,64.95,42.95, Surf blue/white, Surf blue, Cotton
CL0036792, Floral print two-buckle belt dress, Dress,99.95,64.95, Navy/off-white/rust, Navy, Cotton
CL0036382, Layered asymmetric hem dress, Dress,69.95,27.95, Loden/coral/navy/gray, Loden, Rayon
CL0035797, Trees digital print shift dress, Dress,79.95,51.95, White/black/aqua, White, Polyester
CL0035589, Morgan dress, Dress,64.95,45.95, White, White, Cotton
CL0036645, Pleat sash waist paisley chambray dress, Dress,99.95,69.95, Light indigo/white, Light indigo, Cotton
CL0035804, Banded stripe cotton poplin dress, Dress,79.95,39.95, White/black, White, Cotton
CL0035534, Tie front hacci knit top, Top,49.95,29.95, Gray, Gray, Cotton Polyester
CL0036608, Victoria dress, Dress,59.95,59.95, Brown, Brown, Cotton
CL0035276, Galloping horse jersey knit dress, Dress,79.95,39.95, Deep olive/cream, Deep olive, Polyester Spandex
CL0036787, Embellished stripe waist cotton knit dress, Dress,106.95,64.95, White/olive multi, White, Cotton Rayon Spandex
CL0032867, Button front chambray denim skirt, Skirt,59.95,38.95, Deep indigo, Deep indigo, Cotton
CL0033568, Sequin cap sleeve top, Top,59.95,29.95, Silver gray, Silver gray, Polyester
CL0036479, Palm print crepe tank top, Top,39.95,19.95, Off-white/turquoise/black, Off-white, Cotton
CL0036509, Bold graphic print flared skirt, Skirt,89.95,44.95, Off-white/black, Off-white, Polyester
CL0036309, Floral bloom print crepe skirt, Skirt,99.95,49.95, Lavender/violet multi, Lavender, Polyester Crepe de Chine
CL0036444, Mesh inserts floral sateen skirt, Skirt,94.95,37.95, Off-white/coral/olive, Off-white, Cotton Spandex
CL0036251, Notch neck satin twill blouse, Top,49.95,24.95, Deep coral, Deep coral, Cotton
CL0036383, Two tone asymmetric layer top, Top,84.95,33.95, Beige/black, Beige, Polyester Spandex
CL0035490, Geo jacquard crop pants, Pant,99.95,39.95, Deep navy/off-white, Deep navy, Cotton Polyester
CL0035680, Graphic dot print cotton sateen dress, Dress,79.95,39.95, Teal multi/black, Teal multi, Cotton Spandex
CL0036661, Floral print chiffon sash tied shift dress, Dress,99.95,59.95, Black/cream/gray, Black, Polyester
CL0034631, Graphic geo patch print flared skirt, Skirt,119.95,59.95, Mustard/teal/ivory, Mustard, Wool Nylon
CL0034273, Heart print cotton cambric shirt, Top,39.95,19.95, Blush/off-white/brown, Blush, Cotton
CL0033432, Lace trim floral embellished top, Top,66.95,40.95, Deep navy/white, Deep navy, Cotton Spandex
CL0035793, Bold stripe knit strapless maxi dress, Dress,99.95,49.95, Black/ecru/orange, Black, Rayon Polyester Spandex
CL0033593, Bubble knit sash tied shirtdress, Dress,89.95,53.95, Red/white, Red, Polyester Spandex
CL0035494, Stretch jacquard check crop pants, Pant,89.95,58.95, Black/white, Black, Polyester Spandex
CL0035563, Geo print banded stripe dress, Dress,99.95,59.95, Off-white/khaki, Off-white, Cotton Spandex
CL0036247, Split neck graphic embroidery dress, Dress,99.95,59.95, Off-white/yellow, Off-white, Cotton
CL0034891, Strapless floral embellished tulle dress, Dress,86.95,52.95, Off-white/black, Off-white, Polyester
CL0036737, Floral lace bib cold shoulder top, Top,69.95,27.95, Sunset gold, Sunset gold, Polyester
CL0031919, Cotton knit curved waist dress, Dress,59.95,35.95, Deep navy, Deep navy, Cotton Spandex
CL0035505, Stretch twill wide leg pants, Pant,99.95,64.95, Khaki, Khaki, Cotton Polyester Spandex
CL0036784, Floral stretch sateen utility cargo pants, Pant,89.95,53.95, Beige multi, Beige multi, Cotton Polyester Spandex
CL0036409, Draped light jersey and print tunic, Top,94.95,37.95, Black multi, Black multi, Viscose
CL0035586, Cowl collar with ties ponte dress, Dress,89.95,58.95, Black, Black, Rayon Nylon Spandex
CL0036408, Stripe layered asymmetric hem dress, Dress,119.95,47.95, Black/white, Black, Rayon
CL0035161, Colorblock cotton knit wrap dress, Dress,69.95,52.95, Deep navy/royal blue/white, Deep navy, Cotton Spandex
CL0034410, Graphic embellished two tone knit sheath dress, Dress,66.95,43.95, Royablue/black, Royablue, Cotton Spandex
CL0035249, Floral print chiffon surplice romper, Dress,99.95,59.95, Yellow/red multi, Yellow, Polyester
CL0028929, Belted chambray skirt, Skirt,52.95,34.95, Deep indigo, Deep indigo, Cotton
CL0034465, Asymmetric hem cotton knit dress, Dress,79.95,59.95, Royal blue, Royal blue, Cotton Spandex
CL0035506, Stretch twill wide leg pants, Pant,99.95,59.95, Deep brown, Deep brown, Cotton Polyester Spandex
CL0036156, Butterfly print high-low hem chiffon dress, Dress,89.95,44.95, Deep navy multi, Deep navy multi, Polyester
CL0036714, Bow tie graphic stripe blouse, Top,49.95,19.95, Olive/khaki/brown, Olive, Cotton
CL0035787, Herringbone crepe sash tied jumpsuit, Jumpsuit,99.95,59.95, Sangria, Sangria, Polyester
CL0035865, Banded stripe retro poplin frock, Dress,69.95,45.95, Black/surf blue/white, Black, Cotton
CL0036612, V-neck fit-and-flare dress, Dress,99.95,64.95, Gray/white, Gray, Polyester
CL0036622, Floral embellished elastic waist chambray dress, Dress,86.95,60.95, Indigo multi, Indigo multi, Cotton
CL0035822, Draped light jersey knit tunic, Top,39.95,19.95, Mint green, Mint green, Viscose
CL0036230, Floral embellished low waist cotton knit dress, Dress,86.95,52.95, Deep navy multi, Deep navy multi, Cotton Spandex
CL0036249, Floral print chiffon tassel tie dress, Dress,71.95,46.95, Light blue/off-white, Light blue, Cotton
CL0032095, Leafy vine bib front denim chambray dress, Dress,86.95,56.95, Deep indigo/white, Deep indigo, Cotton
CL0035177, Arbor cotton knit dress, Dress,59.95,44.95, Royal blue, Royal blue, Cotton Spandex
CL0036371, Floral flounce hem sheath dress, Dress,179.95,71.95, Black/baby blue, Black, Cotton Polyester
CL0035937, Floral neck jersey stripe sheath dress, Dress,96.95,58.95, White/black, White, Cotton Rayon Spandex
CL0033934, Alexandra dress, Dress,99.95,99.95, Black, Black, Rayon Nylon Spandex
CL0035079, Roll tab sleeve pullover shirt, Top,49.95,29.95, Deep olive, Deep olive, Polyester Spandex
CL0035891, Cutout dandelion print cotton maxi, Dress,119.95,59.95, Yellow/off-white, Yellow, Cotton
CL0036609, Buckle front dot embellished jersey dress, Dress,126.95,63.95, Denim blue/pink, Denim blue, Polyester Rayon Spandex
CL0034048, Polka dot mesh mermaid dress, Dress,99.95,99.95, Black, Black, Nylon
CL0036600, Tropical print crepe A-line dress, Dress,79.95,47.95, Ecru/green multi, Ecru, Polyester Crepe de Chine
CL0034701, Ashley dress, Dress,179.95,179.95, Blush, Blush, Polyester
CL0035879, Her fifties tropical floral print dress, Dress,79.95,51.95, Off-white multi, Off-white multi, Cotton Spandex
CL0036527, Cactus print crepe jogger pants, Pant,89.95,53.95, Dusty peach multi, Dusty peach multi, Polyester Crepe de Chine
CL0036314, Pretty pink floral print crepe dress, Dress,89.95,53.95, Pink multi, Pink multi, Polyester Crepe de Chine
CL0035899, Pleated denim chambray culottes, Pant,59.95,38.95, Deep indigo, Deep indigo, Cotton
CL0035587, Pleated corset bodice chambray dress, Dress,74.95,48.95, Deep indigo, Deep indigo, Cotton
CL0035841, Fiona dress, Dress,119.95,71.95, Off-white, Off-white, Cotton
CL0034971, Brooklyn dress, Dress,69.95,34.95, Sunset gold, Sunset gold, Cotton
CL0036475, Notch neck belted lace dress, Dress,99.95,39.95, Peach bloom, Peach bloom, Nylon Polyester
