PID,Product Name,Category,Final Price,Initial Price,Color,Primary Color,Fabric
CL0036470, Split neck lace overlay chambray dress, Dress,89.95,58.95, Indigo/black, Indigo, Cotton
CL0033988, Cutout shoulder geo print dress, Dress,89.95,58.95, Off-white/teal/black, Off-white, Polyester
CL0036997, Two tone floral print sundress, Dress,89.95,62.95, Off-white/deep navy, Off-white, Polyester Crepe de Chine
CL0036272, Olivia dress, Dress,59.95,59.95, Khaki, Khaki, Cotton
CL0036975, Floral embellished cotton voile dress, Dress,66.95,46.95, White/pink, White, Cotton
CL0036991, Smocked waist jersey knit skirt, Skirt,61.95,43.95, Loden green, Loden green, Viscose Spandex
CL0034979, Pearl beaded illusion chiffon gown, Dress,106.95,64.95, Ivory, Ivory, Polyester
CL0036267, Amelia dress, Dress,69.95,69.95, Khaki, Khaki, Cotton
CL0037000, Watercolor floral print crepe blouson dress, Dress,119.95,83.95, Off-white/blue multi, Off-white, Polyester Crepe de Chine
CL0036964, Floral hem crepe shift dress, Dress,79.95,55.95, Off-white multi, Off-white multi, Polyester Crepe de Chine
CL0036998, Floral print fit-and-flare sundress, Dress,99.95,69.95, Off-white multi, Off-white multi, Polyester Crepe de Chine
CL0036790, Floral splash print crop tank, Top,49.95,29.95, Beige/fuchsia/black, Beige, Cotton Polyester Spandex
CL0036884, Stripe chiffon print angled hem dress, Dress,79.95,47.95, Black/white, Black, Polyester
CL0035562, Floral border print cotton dress, Dress,99.95,59.95, White multi/loden, White multi, Cotton Spandex
CL0036880, Belted cotton paisley print skirt, Skirt,89.95,53.95, Deep gray multi, Deep gray multi, Cotton
CL0037106, Graphic stripe jersey tank dress, Dress,89.95,67.95, White/olive/deep green, White, Cotton Rayon Spandex
CL0036822, Eyelet cotton elastic drawstring skirt, Skirt,79.95,47.95, Light mint blue, Light mint blue, Cotton
CL0036987, Tiered cotton voile maxi dress, Dress,81.95,57.95, White/turquoise, White, Cotton
CL0036852, Floral print cotton knit shirtdress, Dress,69.95,48.95, Navy multi, Navy multi, Cotton Spandex
CL0036898, Swiss dot cotton sleeveless shirt, Top,49.95,29.95, White/banana, White, Cotton
CL0036992, Floral embellished cotton voile dress, Dress,76.95,53.95, White/gold, White, Cotton
CL0037035, V-neck strap crop tank, Top,39.95,29.95, Cream/black, Cream, Cotton
CL0037017, Graphic floral piped trim dress, Dress,89.95,62.95, Celadon green multi, Celadon green multi, Polyester Crepe de Chine
CL0036847, Floral embellished voile caftan top, Top,71.95,43.95, White/turquoise/yellow, White, Cotton
CL0037023, Floral print cotton sateen pencil skirt, Skirt,119.95,83.95, Off-white multi, Off-white multi, Cotton Polyester Spandex
CL0036974, Notch neck graphic floral dress, Dress,79.95,55.95, Celadon green multi, Celadon green multi, Polyester Crepe de Chine
CL0036589, Floral scallop drawstring maxi dress, Dress,106.95,64.95, White, White, Cotton
CL0036903, Cotton pinstripe embellished shift dress, Top,66.95,46.95, White/deep gray, White, Cotton
CL0036879, Jersey knit surplice blouson top, Top,74.95,44.95, Loden green, Loden green, Viscose Spandex
CL0035086, Seamed empire leaf print georgette dress, Dress,64.95,45.95, Pale lime/green/black, Pale lime, Polyester
CL0036859, Pintuck pleat floral trapeze dress, Dress,89.95,53.95, Aqua/orange multi, Aqua, Polyester
CL0036860, Pintuck pleat crinkle cotton trapeze dress, Dress,69.95,48.95, Sunset yellow, Sunset yellow, Cotton
CL0031294, Banded stripe poplin skirt, Skirt,59.95,44.95, Spring green/white, Spring green, Cotton
CL0036846, Flutter sleeve gingham check shift dress, Dress,59.95,38.95, Black/white, Black, Cotton Linen
CL0036896, Empire waist stretch ottoman dress, Dress,99.95,99.95, Teal green, Teal green, Cotton Polyester Spandex
CL0036901, Side button cotton knit skirt, Skirt,49.95,34.95, Maize yellow, Maize yellow, Cotton Spandex
CL0036851, Embellished organza contrast trim shirtdress, Dress,119.95,77.95, Off-white/black/red, Off-white, Polyester
CL0037034, Piped trim cotton poplin skirt, Skirt,49.95,37.95, Banana yellow/cream, Banana yellow, Cotton
CL0036889, Tile print cotton trapeze dress, Dress,79.95,51.95, Navy/white/orange, Navy, Cotton
CL0036844, Graphic dog print cotton knit dress, Dress,69.95,45.95, Deep navy/white, Deep navy, Cotton Spandex
