query,hits,clicks,clickThroughs,ctr,carts,orders
Havana Dresses,89,309,71,79.78,32,6
orange,89,146,44,49.44,4,0
retro ,87,301,60,68.97,228,2
Virginia ,87,163,58,66.67,32,0
plus size,86,136,54,62.79,27,0
lace dresses,86,162,61,70.93,11,0
Owl ,85,116,49,57.65,27,2
empire  waist dresses,81,311,64,79.01,40,2
Poplin dresses,81,259,67,82.72,46,1
Maternity,81,138,48,59.26,8,0
cats,80,114,26,32.5,12,0
vintage,80,148,48,60,9,0
gold ,79,117,46,58.23,19,1
Rompers,78,171,51,65.38,18,1
Scalloped ,78,129,57,73.08,24,0
blazers,77,145,36,46.75,32,3
Teal ,75,170,45,60,12,0
Pink dresses ,74,83,33,44.59,6,0
coats,73,94,12,16.44,2,0
halter ,73,128,54,73.97,24,0
Cardigans ,73,142,42,57.53,21,1
"""cotton""",70,222,54,77.14,34,0
Color blocking,70,126,51,72.86,14,0
Chambray dresses,70,163,47,67.14,11,0
Jumpsuits,69,88,41,59.42,13,1
overstock ,68,243,40,58.82,12,0
Hearts,68,160,41,60.29,53,0
Marilyn ,67,120,33,49.25,8,0
empire waist,66,276,61,92.42,26,1
seagull,66,171,46,69.7,25,1
"Grace dress	",65,154,46,70.77,22,3
Skater ,64,148,50,78.13,13,1
Cotton knit fit and flare dress,64,112,40,62.5,15,2
Chevron stripe colorblock maxi dress-Juniper green/white/deep navy,63,122,31,49.21,23,3
Ponte ,63,199,38,60.32,18,0
Checked,62,90,38,61.29,12,0
Sequin ,61,134,38,62.3,14,0
Kayla dress-Deep navy,59,59,18,30.51,25,4
Chevron stripe colorblock maxi dress-Black/white/eggplant,59,95,21,35.59,18,0
tulle skirt,57,79,22,38.6,6,1
Grace ,57,116,36,63.16,3,0
floral Dresses,56,121,38,67.86,9,0
Lilian ,56,135,41,73.21,24,1
ikat ,55,193,44,80,10,1
bicycle,55,58,24,43.64,0,1
trapeze,55,113,44,80,29,2
shift dresses,55,120,35,63.64,21,3
Tie neck poplin dress-Black,54,58,13,24.07,18,0
Bird dress ,54,84,36,66.67,21,1
Brown ,53,124,27,50.94,28,1
Retro chambray shirtdress-Indigo,52,65,17,32.69,21,0
trellis,52,62,29,55.77,13,1
Denim chambray dresses,51,170,43,84.31,74,5
Rabbit ,51,76,26,50.98,20,0
"Chevron stripe colorblock maxi dress	",51,78,31,60.78,21,1
Navy blue dresses ,51,107,34,66.67,15,2
Eggplant ,51,89,26,50.98,6,0
Peplum ,51,73,20,39.22,12,2
shoes,51,31,12,23.53,3,1
sheath dresses,50,119,29,58,14,0
Trapeze dress,50,123,36,72,8,1
Embellished,50,109,34,68,3,0
virginia dresses,50,110,36,72,15,2
Dahlia ,49,86,38,77.55,9,2
Plus Size Dresses,48,116,32,66.67,46,0
Cotton knit dresses,48,74,27,56.25,18,4
crop tops,48,53,19,39.58,6,0
Shrugs,47,63,22,46.81,9,2
Floral stripe print belted dress-Red/cream,47,94,17,36.17,9,0
Chevron stripe colorblock maxi dress-White/black,46,76,12,26.09,12,0
Caftan ,46,86,35,76.09,18,1
Corset ,46,98,35,76.09,8,2
Pleat waist poplin shirtdress-Deep navy,45,107,13,28.89,28,3
Wedding,45,88,31,68.89,2,0
Havana dress-Black,45,29,7,15.56,3,0
dots,45,68,26,57.78,19,1
Navy blue,45,71,30,66.67,2,1
A  line ,45,122,34,75.56,12,1
Seagull print pleated cotton knit dress-Light blue/white/black,44,197,15,34.09,16,0
butterfly,44,79,33,75,6,0
skater dresses,43,100,29,67.44,15,0
